district_id,district_name,province_id,province_name
CP01,Chibombo District,CP,Central Province
CP02,Chisamba District,CP,Central Province
CP03,Chitambo District,CP,Central Province
CP04,Kabwe District,CP,Central Province
CP05,Kapiri Mposhi District,CP,Central Province
CP06,Luano District,CP,Central Province
CP07,Mkushi District,CP,Central Province
CP08,Mumbwa District,CP,Central Province
CP09,Ngabwe District,CP,Central Province
CP10,Serenje District,CP,Central Province
CP11,Shibuyunji District,CP,Central Province
CB01,Chililabombwe District,CB,Copperbelt Province
CB02,Chingola District,CB,Copperbelt Province
CB03,Kalulushi District,CB,Copperbelt Province
CB04,Kitwe District,CB,Copperbelt Province
CB05,Luanshya District,CB,Copperbelt Province
CB06,Lufwanyama District,CB,Copperbelt Province
CB07,Masaiti District,CB,Copperbelt Province
CB08,Mpongwe District,CB,Copperbelt Province
CB09,Mufulira District,CB,Copperbelt Province
CB10,Ndola District,CB,Copperbelt Province
EP01,Chadiza District,EP,Eastern Province
EP02,Chama District,EP,Eastern Province
EP03,Chasefu District,EP,Eastern Province
EP04,Chipangali District,EP,Eastern Province
EP05,Chipata District,EP,Eastern Province
EP06,Kasenengwa District,EP,Eastern Province
EP07,Katete District,EP,Eastern Province
EP08,Lumezi District,EP,Eastern Province
EP09,Lundazi District,EP,Eastern Province
EP10,Lusangazi District,EP,Eastern Province
EP11,Mambwe District,EP,Eastern Province
EP12,Nyimba District,EP,Eastern Province
EP13,Petauke District,EP,Eastern Province
EP14,Sinda District,EP,Eastern Province
EP15,Vubwi District,EP,Eastern Province
LP01,Chembe District,LP,Luapula Province
LP02,Chiengi District,LP,Luapula Province
LP03,Chifunabuli District,LP,Luapula Province
LP04,Chipili District,LP,Luapula Province
LP05,Kawambwa District,LP,Luapula Province
LP06,Lunga District,LP,Luapula Province
LP07,Mansa District,LP,Luapula Province
LP08,Milenge District,LP,Luapula Province
LP09,Mwansabombwe District,LP,Luapula Province
LP10,Mwense District,LP,Luapula Province
LP11,Nchelenge District,LP,Luapula Province
LP12,Samfya District,LP,Luapula Province
LK01,Chilanga District,LK,Lusaka Province
LK02,Chongwe District,LK,Lusaka Province
LK03,Kafue District,LK,Lusaka Province
LK04,Luangwa District,LK,Lusaka Province
LK05,Lusaka District,LK,Lusaka Province
LK06,Rufunsa District,LK,Lusaka Province
MP01,Chinsali District,MP,Muchinga Province
MP02,Isoka District,MP,Muchinga Province
MP03,Kanchibiya District,MP,Muchinga Province
MP04,Lavushimanda District,MP,Muchinga Province
MP05,Mafinga District,MP,Muchinga Province
MP06,Mpika District,MP,Muchinga Province
MP07,Nakonde District,MP,Muchinga Province
MP08,Shiwang'andu District,MP,Muchinga Province
NP01,Chilubi District,NP,Northern Province
NP02,Kaputa District,NP,Northern Province
NP03,Kasama District,NP,Northern Province
NP04,Lunte District,NP,Northern Province
NP05,Lupososhi District,NP,Northern Province
NP06,Luwingu District,NP,Northern Province
NP07,Mbala District,NP,Northern Province
NP08,Mporokoso District,NP,Northern Province
NP09,Mpulungu District,NP,Northern Province
NP10,Mungwi District,NP,Northern Province
NP11,Nsama District,NP,Northern Province
NP12,Senga District,NP,Northern Province
NW01,Chavuma District,NW,North-Western Province
NW02,Ikelenge District,NW,North-Western Province
NW03,Kabompo District,NW,North-Western Province
NW04,Kalumbila District,NW,North-Western Province
NW05,Kasempa District,NW,North-Western Province
NW06,Manyinga District,NW,North-Western Province
NW07,Mufumbwe District,NW,North-Western Province
NW08,Mushindamo District,NW,North-Western Province
NW09,Mwinilunga District,NW,North-Western Province
NW10,Solwezi District,NW,North-Western Province
NW11,Zambezi District,NW,North-Western Province
SP01,Chikankata District,SP,Southern Province
SP02,Chirundu District,SP,Southern Province
SP03,Choma District,SP,Southern Province
SP04,Gwembe District,SP,Southern Province
SP05,Itezhi-Tezhi District,SP,Southern Province
SP06,Kalomo District,SP,Southern Province
SP07,Kazungula District,SP,Southern Province
SP08,Livingstone District,SP,Southern Province
SP09,Mazabuka District,SP,Southern Province
SP10,Monze District,SP,Southern Province
SP11,Namwala District,SP,Southern Province
SP12,Pemba District,SP,Southern Province
SP13,Siavonga District,SP,Southern Province
SP14,Sinazongwe District,SP,Southern Province
SP15,Zimba District,SP,Southern Province
WP01,Kalabo District,WP,Western Province
WP02,Kaoma District,WP,Western Province
WP03,Limulunga District,WP,Western Province
WP04,Luampa District,WP,Western Province
WP05,Lukulu District,WP,Western Province
WP06,Mitete District,WP,Western Province
WP07,Mongu District,WP,Western Province
WP08,Mulobezi District,WP,Western Province
WP09,Mwandi District,WP,Western Province
WP10,Nalolo District,WP,Western Province
WP11,Nkeyema District,WP,Western Province
WP12,Senanga District,WP,Western Province
WP13,Sesheke District,WP,Western Province
WP14,Shangombo District,WP,Western Province
WP15,Sikongo District,WP,Western Province
WP16,Sioma District,WP,Western Province
